iter	RMSE
0	16181.416
1	15716.33242
2	15259.76931
3	14862.44056
4	14482.52829
5	14048.04837
6	13639.54838
7	13265.63032
8	12909.57783
9	12552.43793
10	12217.7333
11	11873.16163
12	11571.45058
13	11279.11776
14	11001.32717
15	10714.69179
16	10468.54411
17	10217.10411
18	9971.561599
19	9763.377825
20	9537.494923
21	9338.078367
22	9157.833043
23	8969.001773
24	8786.604069
25	8566.989954
26	8394.980843
27	8239.064068
28	8105.887067
29	7957.876967
30	7818.302491
31	7636.172877
32	7502.649545
33	7373.90664
34	7209.448285
35	7068.641402
36	6956.606538
37	6853.434409
38	6764.31504
39	6629.696224
40	6532.290786
41	6457.342236
42	6367.9222
43	6295.975417
44	6213.466867
45	6115.041135
46	6026.388897
47	5953.571782
48	5868.857189
49	5807.580157
50	5762.585905
51	5678.477135
52	5609.52176
53	5542.68972
54	5472.939015
55	5416.346166
56	5363.337114
57	5309.499784
58	5253.572445
59	5181.530839
60	5128.053539
61	5070.991083
62	5031.911529
63	4990.026647
64	4953.750677
65	4926.81044
66	4881.863015
67	4850.680734
68	4822.352566
69	4786.235942
70	4771.301314
71	4743.258108
72	4711.269038
73	4689.518028
74	4655.727669
75	4635.693983
76	4602.655883
77	4580.740067
78	4558.22142
79	4543.029553
80	4522.038792
81	4504.522338
82	4482.745359
83	4469.264059
84	4446.912726
85	4436.335057
86	4411.804035
87	4400.053153
88	4384.121691
89	4352.922419
90	4344.829126
91	4324.684841
92	4307.966307
93	4296.43579
94	4287.309896
95	4270.759212
96	4259.063449
97	4247.183433
98	4232.04132
99	4215.625556
100	4210.223416
101	4196.411595
102	4182.399823
103	4171.708684
104	4160.98722
105	4152.086679
106	4143.904051
107	4131.644231
108	4120.202639
109	4110.50623
110	4101.484734
111	4097.354873
112	4082.670322
113	4076.768088
114	4066.655016
115	4053.17108
116	4041.89152
117	4035.711942
118	4026.551851
119	4017.682111
120	4010.0842
121	4004.936087
122	3996.380791
123	3987.785718
124	3982.244046
125	3976.313005
126	3970.68455
127	3959.336579
128	3949.826907
129	3936.757659
130	3932.934349
131	3925.872178
132	3916.816058
133	3906.5188
134	3898.009504
135	3881.628596
136	3875.38705
137	3869.006745
138	3863.170634
139	3857.573306
140	3854.18559
141	3851.653338
142	3846.375645
143	3837.374154
144	3829.538092
145	3823.333022
146	3814.663825
147	3809.201862
148	3803.648222
149	3795.61288
150	3787.665868
151	3779.890451
152	3778.179879
153	3769.090428
154	3752.220997
155	3748.581283
156	3747.183226
157	3738.069693
158	3732.972058
159	3729.868986
160	3724.088312
161	3716.566405
162	3713.520655
163	3705.834652
164	3704.560162
165	3702.770846
166	3700.575233
167	3694.480655
168	3691.672357
169	3689.146425
170	3684.385798
171	3676.751694
172	3670.386826
173	3664.708813
174	3658.170353
175	3653.000574
176	3646.360218
177	3638.103808
178	3636.243603
179	3633.552909
180	3631.719444
181	3628.615862
182	3623.029327
183	3620.89432
184	3613.284168
185	3604.655096
186	3601.296023
187	3595.480339
188	3592.525088
189	3590.119401
190	3584.327028
191	3577.997161
192	3575.855904
193	3573.74023
194	3571.716321
195	3567.395787
196	3563.266062
197	3561.038615
198	3558.853638
199	3552.981255
200	3550.170936
201	3547.62297
202	3540.162931
203	3538.127963
204	3535.74693
205	3528.983646
206	3526.102301
207	3519.705084
208	3517.019994
209	3514.950473
210	3512.455698
211	3510.006496
212	3507.815388
213	3501.615067
214	3498.249535
215	3495.927833
216	3491.363661
217	3488.510799
218	3485.642396
219	3483.565485
220	3472.459844
221	3465.928942
222	3463.641193
223	3461.514365
224	3459.353569
225	3456.915922
226	3454.831412
227	3452.866504
228	3448.279324
229	3442.603624
230	3440.41425
231	3438.40671
232	3436.510433
233	3434.407545
234	3428.509867
235	3426.08861
236	3424.279437
237	3422.409846
238	3420.610025
239	3417.892101
240	3412.246854
241	3410.362242
242	3407.33266
243	3399.777756
244	3397.746609
245	3390.311968
246	3388.383042
247	3381.033958
248	3374.239746
249	3368.756119
250	3367.026439
251	3365.130449
252	3359.742727
253	3355.428313
254	3353.916868
255	3348.147777
256	3343.954678
257	3342.223172
258	3340.349209
259	3334.222532
260	3328.017613
261	3320.443546
262	3314.726737
263	3312.025251
264	3309.344601
265	3302.611866
266	3296.45253
267	3292.610123
268	3290.87081
269	3289.215495
270	3284.160728
271	3282.37784
272	3280.736704
273	3279.018549
274	3275.912583
275	3274.330059
276	3271.915738
277	3270.247063
278	3268.709522
279	3267.086151
280	3265.490135
281	3263.910356
282	3262.36284
283	3260.993753
284	3259.470877
285	3257.964816
286	3256.492699
287	3255.077612
288	3252.768394
289	3247.20995
290	3242.030858
291	3240.586028
292	3231.339546
293	3222.918956
294	3215.863978
295	3214.57476
296	3213.267054
297	3205.068394
298	3203.727744
299	3201.574891
300	3196.309598
301	3195.049524
302	3191.007306
303	3188.616946
304	3187.273368
305	3184.883161
306	3181.835129
307	3175.37111
308	3170.38205
309	3168.201876
310	3166.928404
311	3165.604314
312	3164.291175
313	3159.581443
314	3158.287491
315	3149.819562
316	3148.522666
317	3146.735849
318	3144.519179
319	3143.245173
320	3138.298794
321	3132.730957
322	3130.539135
323	3128.135234
324	3126.868268
325	3122.977005
326	3118.493501
327	3117.245866
328	3113.608216
329	3111.676699
330	3109.475035
331	3108.219519
332	3106.995264
333	3100.500802
334	3092.305073
335	3087.65873
336	3085.916626
337	3081.606336
338	3076.37952
339	3066.653846
340	3065.427549
341	3061.624899
342	3060.389361
343	3059.188441
344	3055.498629
345	3053.099565
346	3051.034624
347	3047.857734
348	3043.942227
349	3037.473756
350	3036.173858
351	3034.966425
352	3031.718155
353	3030.381463
354	3025.68812
355	3016.142826
356	3014.968447
357	3010.905632
358	3006.150532
359	2999.904561
360	2989.870724
361	2983.071375
362	2981.806309
363	2975.251611
364	2973.715282
365	2971.505543
366	2970.264539
367	2969.120816
368	2967.467464
369	2964.511982
370	2961.438817
371	2960.216407
372	2958.696922
373	2955.659548
374	2951.629701
375	2949.515783
376	2946.619871
377	2945.413362
378	2944.213666
379	2943.120569
380	2941.94983
381	2934.070534
382	2930.316185
383	2929.147649
384	2926.931493
385	2923.326961
386	2921.25588
387	2919.541724
388	2918.386943
389	2909.697801
390	2908.565853
391	2907.43725
392	2905.185125
393	2904.063819
394	2902.337593
395	2898.940512
396	2897.505841
397	2896.479864
398	2895.348793
399	2889.172399
400	2888.06846
401	2886.983645
402	2885.489025
403	2884.495141
404	2881.96052
405	2880.482416
406	2878.615999
407	2877.616447
408	2874.061182
409	2872.334847
410	2869.743719
411	2868.669536
412	2865.390994
413	2864.327688
414	2861.522607
415	2860.139896
416	2855.998913
417	2853.289175
418	2844.522803
419	2843.476159
420	2841.348244
421	2838.127884
422	2837.090355
423	2836.063275
424	2833.122114
425	2832.091502
426	2830.28347
427	2826.026275
428	2825.005179
429	2823.572977
430	2822.216795
431	2820.863302
432	2819.334059
433	2815.311287
434	2814.294735
435	2811.367119
436	2806.54096
437	2805.532202
438	2804.536824
439	2803.546078
440	2802.627035
441	2801.650843
442	2800.6172
443	2796.085515
444	2792.606708
445	2790.638694
446	2789.743113
447	2786.529064
448	2785.114565
449	2784.150712
450	2783.275509
451	2781.751524
452	2778.067353
453	2776.543743
454	2775.600263
455	2771.018158
456	2769.71645
457	2768.841711
458	2760.287248
459	2759.044384
460	2757.973545
461	2756.978238
462	2753.942707
463	2753.013099
464	2750.084448
465	2749.163506
466	2745.671286
467	2744.277657
468	2740.02435
469	2739.107953
470	2734.860323
471	2733.950973
472	2732.681069
473	2731.826223
474	2730.255525
475	2729.026578
476	2726.359494
477	2723.68944
478	2722.149852
479	2721.18359
480	2719.889535
481	2718.795291
482	2714.940075
483	2713.994041
