iter	Passed	Remaining
0	23	23936
1	39	19650
2	53	17899
3	69	17415
4	89	17859
5	104	17317
6	122	17412
7	142	17621
8	160	17699
9	183	18157
10	198	17835
11	213	17537
12	229	17387
13	244	17201
14	260	17101
15	276	16988
16	292	16899
17	307	16794
18	321	16595
19	338	16588
20	358	16694
21	372	16555
22	392	16673
23	414	16860
24	453	17690
25	504	18893
26	579	20876
27	633	21990
28	708	23716
29	783	25318
30	806	25212
31	831	25154
32	854	25028
33	871	24765
34	885	24422
35	903	24187
36	925	24075
37	940	23818
38	954	23522
39	977	23450
40	991	23196
41	1005	22939
42	1021	22743
43	1037	22539
44	1052	22327
45	1068	22150
46	1084	21991
47	1101	21840
48	1119	21728
49	1135	21568
50	1149	21386
51	1165	21242
52	1180	21092
53	1195	20940
54	1210	20805
55	1225	20654
56	1241	20535
57	1259	20463
58	1275	20347
59	1290	20219
60	1306	20111
61	1323	20027
62	1340	19935
63	1355	19830
64	1370	19713
65	1385	19611
66	1402	19532
67	1418	19441
68	1438	19405
69	1461	19412
70	1486	19448
71	1512	19497
72	1541	19577
73	1567	19616
74	1600	19744
75	1629	19807
76	1647	19749
77	1668	19724
78	1688	19684
79	1713	19701
80	1731	19650
81	1765	19769
82	1800	19894
83	1825	19909
84	1854	19963
85	1888	20072
86	1945	20419
87	1976	20481
88	2032	20800
89	2068	20916
90	2093	20908
91	2113	20861
92	2141	20887
93	2168	20905
94	2196	20923
95	2227	20977
96	2255	20994
97	2279	20983
98	2306	20995
99	2330	20975
100	2354	20960
101	2375	20911
102	2399	20895
103	2419	20842
104	2433	20744
105	2464	20785
106	2479	20694
107	2497	20626
108	2515	20561
109	2531	20479
110	2551	20434
111	2570	20383
112	2591	20341
113	2605	20250
114	2622	20180
115	2641	20132
116	2668	20142
117	2699	20179
118	2772	20526
119	2820	20683
120	2867	20830
121	2895	20837
122	2915	20791
123	2934	20728
124	2954	20680
125	2969	20598
126	2988	20544
127	3014	20538
128	3050	20595
129	3075	20580
